date,excess,cum_excess,roll_t,cusum,weak_today,cusum_latched
2015-01-05,-0.0055700326798821045,-0.0055700326798821045,-0.0,1.318731935490897,0,0
2015-01-06,0.002997344566817537,-0.0025726881130645677,-0.0,0.6609228406917736,0,0
2015-01-07,0.0010329882127142534,-0.0015396999003503143,-0.0,0.454478025307058,0,0
2015-01-08,0.0011238530307065573,-0.00041584686964375706,-0.0,0.22564135639998684,0,0
2015-01-09,-0.0050518930406173055,-0.005467739910261063,-0.0,1.4365197141595523,0,0
2015-01-12,-0.0022550234868481274,-0.00772276339710919,-0.0,1.9935692339674769,0,0
2015-01-13,-0.006761320286399605,-0.014484083683508795,-0.0,3.6064159533931526,0,0
2015-01-14,-0.004780196483961852,-0.019264280167470647,-0.0,4.746564696054129,0,0
2015-01-15,-0.0014163902595658306,-0.020680670427036477,-0.0,5.106490795168916,0,0
2015-01-16,5.5042973372383935e-05,-0.020625627453664093,-0.0,5.125690869368525,0,0
2015-01-19,0.0036913977305591517,-0.016934229723104943,-0.0,4.293693026562472,0,0
2015-01-20,-0.0074143294428332986,-0.02434855916593824,-0.0,6.063629122824291,0,0
2015-01-21,0.001086541427307173,-0.02326201773863107,-0.0,5.8438565407592815,0,0
2015-01-22,0.00020868343797564998,-0.02305333430065542,-0.0,5.827245786818211,0,0
2015-01-23,0.00017718628987550584,-0.022876148010779914,-0.0,5.817734803428367,0,0
2015-01-26,-0.0032412666016916076,-0.026117414612471523,-0.0,6.613664841600478,0,0
2015-01-27,0.0026026644610143623,-0.02351475015145716,-0.0,6.030790488429949,0,0
2015-01-28,-0.003546401297935154,-0.027061151449392314,-0.0,6.903651220406513,0,0
2015-01-29,-0.0030002617187964817,-0.030061413168188795,-0.0,7.648222201650183,0,0
2015-01-30,-0.00844019511038832,-0.03850160827857711,-0.0,9.690467676857907,0,0
2015-02-02,0.0049299785586262536,-0.03357162971995086,-0.0,8.56826837695741,0,0
2015-02-03,-0.0014178304090791652,-0.03498946012903003,-0.0,8.931589133906956,0,0
2015-02-04,0.003888196043052739,-0.03110126408597729,-0.0,8.050342995532539,0,0
2015-02-05,-0.002363549829716711,-0.033464813915694,-0.0,8.638030177872066,0,0
2015-02-06,-0.004098949288380038,-0.03756376320407404,-0.0,9.637563620525263,0,0
2015-02-09,0.001057757137822143,-0.0365060060662519,-0.0,9.419806050192019,0,0
2015-02-10,0.0016800160196148517,-0.03482599004663705,-0.0,9.052961786221067,0,0
2015-02-11,-0.0025188533173545794,-0.03734484336399163,-0.0,9.685882358419775,0,0
2015-02-12,0.002244623105355122,-0.03510022025863651,-0.0,9.180426363831456,0,0
2015-02-13,-0.0011019193162600934,-0.036202139574896604,-0.0,9.477369572951943,0,0
2015-02-16,0.001296409322891016,-0.034905730252005586,-0.0,9.196005785826888,0,0
